TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionHour,TransactionDayOfWeek,TimeSinceLastTransaction,HighLoginAttempts,LongDuration,IsCredit,Cluster,RuleBasedFraud,FraudRiskLevel
TX002093,AC00081,287.51,2023-05-22 16:57:31,Debit,El Paso,D000698,189.20.224.220,M016,Online,22,Student,255,1,187.65,2024-11-04 08:08:19,16,0,-45933048.0,0,0,0,1,1,High
TX000630,AC00296,374.61,2023-08-29 18:30:36,Credit,Mesa,D000056,34.125.226.63,M079,Online,75,Retired,37,1,1389.71,2024-11-04 08:11:24,18,1,-37374048.0,0,0,1,2,0,Moderate
TX000296,AC00272,20.54,2023-08-21 18:09:24,Debit,Fort Worth,D000348,171.101.134.74,M055,Branch,51,Engineer,72,1,5327.03,2024-11-04 08:07:28,18,0,-38066284.0,0,0,0,3,0,Low
TX000418,AC00274,775.23,2023-08-07 16:40:02,Credit,Albuquerque,D000220,112.222.0.29,M036,Online,59,Doctor,38,1,5977.59,2024-11-04 08:07:01,16,0,-39281219.0,0,0,1,2,0,Moderate
TX000259,AC00363,434.58,2023-09-06 16:28:38,Debit,Memphis,D000136,80.92.209.207,M091,ATM,59,Doctor,215,1,12648.32,2024-11-04 08:08:15,16,2,-36689977.0,0,0,0,3,0,Low
TX000369,AC00327,283.81,2023-03-09 16:31:54,Debit,San Diego,D000364,64.57.44.102,M046,Branch,28,Student,29,1,1519.35,2024-11-04 08:10:46,16,3,-52328332.0,0,0,0,1,1,High
TX001472,AC00250,153.07,2023-04-03 18:37:57,Debit,Detroit,D000503,92.214.76.157,M034,ATM,56,Engineer,116,1,8873.43,2024-11-04 08:12:06,18,0,-50160849.0,0,0,0,3,0,Low
TX001434,AC00455,101.23,2023-08-04 18:34:01,Debit,Colorado Springs,D000696,171.150.178.172,M015,Online,45,Engineer,87,1,6169.71,2024-11-04 08:06:42,18,4,-39533561.0,0,0,0,3,0,Low
TX000826,AC00077,408.19,2023-12-15 16:48:08,Debit,Mesa,D000369,19.20.13.234,M038,Branch,26,Engineer,241,1,6847.47,2024-11-04 08:08:29,16,4,-28048821.0,0,0,0,1,1,High
TX000393,AC00131,222.39,2023-08-23 16:32:59,Debit,Virginia Beach,D000008,180.224.54.115,M088,Online,49,Engineer,73,1,3117.39,2024-11-04 08:10:52,16,2,-37899473.0,0,0,0,1,0,High
TX000144,AC00108,233.74,2023-10-24 16:41:00,Credit,Oklahoma City,D000600,96.115.67.230,M030,Online,66,Retired,17,1,1066.59,2024-11-04 08:11:17,16,1,-32542217.0,0,0,1,2,0,Moderate
TX002508,AC00297,856.21,2023-04-26 17:09:36,Credit,Colorado Springs,D000625,21.157.41.17,M072,Branch,33,Doctor,109,1,12690.79,2024-11-04 08:11:29,17,2,-48178913.0,0,0,1,2,0,Moderate
TX000245,AC00004,40.66,2024-01-01 16:08:49,Debit,Louisville,D000214,148.25.159.90,M061,Branch,59,Retired,156,1,1153.84,2024-11-04 08:11:28,16,0,-26582559.0,0,0,0,3,0,Low
TX001435,AC00346,180.46,2023-03-13 16:26:30,Debit,Fresno,D000456,147.114.91.132,M001,ATM,25,Student,34,1,831.75,2024-11-04 08:11:23,16,0,-51983093.0,0,0,0,1,1,High
TX001800,AC00079,21.4,2023-02-13 16:14:00,Credit,Kansas City,D000168,115.241.186.164,M009,Online,48,Engineer,129,1,8551.6,2024-11-04 08:12:21,16,0,-54403101.0,0,0,1,2,0,Moderate
TX002352,AC00063,12.35,2023-02-06 18:39:50,Debit,Fresno,D000213,144.228.168.6,M092,Branch,25,Student,22,1,1846.85,2024-11-04 08:11:12,18,0,-54999082.0,0,0,0,1,1,High
TX001072,AC00497,333.83,2023-07-31 17:46:50,Debit,Fresno,D000063,121.67.144.20,M097,ATM,63,Retired,135,1,1660.66,2024-11-04 08:11:07,17,0,-39882257.0,0,0,0,3,0,Low
TX002168,AC00446,79.77,2023-01-23 16:50:55,Debit,San Francisco,D000390,51.250.46.149,M066,ATM,68,Retired,167,1,5010.31,2024-11-04 08:08:44,16,0,-56215069.0,0,0,0,3,0,Low
TX002147,AC00145,97.63,2023-05-15 16:05:06,Credit,Milwaukee,D000236,101.90.40.193,M023,Online,48,Doctor,127,1,12467.31,2024-11-04 08:11:10,16,0,-46541164.0,0,0,1,2,0,Moderate
TX001195,AC00201,231.46,2023-06-08 16:42:30,Credit,Miami,D000135,77.208.193.198,M047,Branch,60,Engineer,83,1,4707.24,2024-11-04 08:08:31,16,3,-44465161.0,0,0,1,2,0,Moderate
TX001687,AC00449,341.84,2023-06-23 16:10:12,Credit,El Paso,D000547,23.255.214.209,M026,Branch,27,Student,89,1,1400.04,2024-11-04 08:07:42,16,4,-43171050.0,0,0,1,2,1,High
TX000207,AC00181,800.55,2023-05-04 16:21:31,Debit,Oklahoma City,D000657,8.244.162.185,M062,ATM,31,Engineer,108,1,9660.22,2024-11-04 08:06:49,16,3,-47490318.0,0,0,0,4,0,High
TX002054,AC00331,58.32,2023-07-31 16:21:15,Credit,Louisville,D000135,87.50.72.69,M011,Branch,29,Engineer,275,4,6027.49,2024-11-04 08:06:58,16,0,-39887143.0,1,1,1,0,1,High
TX002017,AC00001,212.97,2023-11-14 16:56:34,Debit,Atlanta,D000492,45.241.13.208,M003,Online,59,Engineer,178,1,4180.4,2024-11-04 08:10:42,16,1,-30726848.0,0,0,0,3,0,Low
TX002432,AC00373,57.49,2023-11-16 18:09:35,Credit,Detroit,D000533,60.166.231.236,M014,Online,24,Student,177,1,765.15,2024-11-04 08:11:34,18,3,-30549719.0,0,0,1,2,1,High
TX002064,AC00110,351.38,2023-06-26 18:41:55,Debit,New York,D000254,47.82.77.181,M026,Branch,64,Retired,21,1,7606.63,2024-11-04 08:06:32,18,0,-42902677.0,0,0,0,3,0,Low
TX000707,AC00004,642.54,2023-05-10 18:49:20,Debit,Milwaukee,D000663,166.79.195.157,M025,Branch,44,Engineer,28,1,3143.17,2024-11-04 08:10:37,18,2,-46963277.0,0,0,0,4,0,High
TX000168,AC00332,506.28,2023-05-02 17:03:29,Credit,Chicago,D000606,110.150.1.201,M010,Online,53,Retired,162,2,1309.95,2024-11-04 08:09:09,17,1,-47660740.0,0,0,1,2,0,Moderate
TX001979,AC00327,1225.5,2023-11-27 16:02:08,Credit,Las Vegas,D000507,156.187.182.236,M066,Online,50,Doctor,109,1,8611.17,2024-11-04 08:11:41,16,0,-29606973.0,0,0,1,4,1,High
TX000928,AC00354,148.0,2023-01-23 16:48:16,Debit,Tucson,D000530,38.164.132.63,M065,Branch,20,Student,35,1,1488.65,2024-11-04 08:06:39,16,0,-56215103.0,0,0,0,1,1,High
TX002337,AC00485,63.33,2023-12-26 17:10:01,Credit,Louisville,D000485,7.28.148.225,M014,Branch,23,Student,124,1,792.33,2024-11-04 08:12:02,17,1,-27097321.0,0,0,1,2,1,High
TX002486,AC00051,193.38,2023-07-20 16:05:11,Debit,Memphis,D000188,91.204.200.167,M069,ATM,18,Student,285,1,1081.79,2024-11-04 08:10:56,16,3,-40838745.0,0,1,0,1,1,High
TX000223,AC00004,547.87,2023-07-10 17:15:27,Debit,Columbus,D000183,188.205.152.176,M064,ATM,64,Retired,131,1,6155.76,2024-11-04 08:10:31,17,0,-41698504.0,0,0,0,3,0,Low
TX000778,AC00358,88.4,2023-11-10 18:02:07,Debit,Fort Worth,D000112,112.196.12.19,M065,Online,46,Engineer,174,1,2567.53,2024-11-04 08:09:41,18,4,-31068454.0,0,0,0,1,0,High
TX000355,AC00349,131.43,2023-02-01 18:47:20,Debit,Charlotte,D000391,77.7.223.184,M053,Online,43,Doctor,65,1,1337.5,2024-11-04 08:12:12,18,2,-55430692.0,0,0,0,1,0,High
TX000657,AC00014,427.0,2023-07-31 17:04:29,Credit,Oklahoma City,D000629,183.39.94.209,M065,Branch,49,Engineer,163,1,8253.65,2024-11-04 08:07:30,17,0,-39884581.0,0,0,1,2,0,Moderate
TX002161,AC00297,179.38,2023-08-10 18:31:00,Debit,Chicago,D000499,112.56.160.202,M074,Online,30,Engineer,28,1,8741.51,2024-11-04 08:08:34,18,3,-39015454.0,0,0,0,1,0,High
TX000647,AC00056,56.89,2023-02-03 18:03:56,Credit,Houston,D000120,31.127.129.152,M062,Branch,59,Engineer,56,1,3034.67,2024-11-04 08:09:52,18,4,-55260356.0,0,0,1,2,0,Moderate
TX001696,AC00175,521.01,2023-10-13 17:54:57,Credit,Seattle,D000205,36.13.239.172,M041,Branch,41,Engineer,73,1,4004.55,2024-11-04 08:07:07,17,4,-33487930.0,0,0,1,2,0,Moderate
TX000794,AC00262,408.28,2023-03-15 16:33:09,Credit,Nashville,D000638,142.148.226.178,M028,Branch,21,Student,125,3,1222.77,2024-11-04 08:10:10,16,2,-51809821.0,1,0,1,0,1,High
TX001175,AC00462,39.41,2023-11-27 16:27:56,Debit,Louisville,D000356,58.190.9.136,M030,Branch,25,Student,132,1,921.91,2024-11-04 08:11:02,16,0,-29605386.0,0,0,0,1,1,High
TX002260,AC00324,0.45,2023-07-26 17:29:24,Debit,Kansas City,D000334,5.50.152.168,M078,Branch,34,Engineer,172,1,8670.23,2024-11-04 08:10:09,17,2,-40315245.0,0,0,0,3,0,Low
TX001584,AC00081,315.39,2023-05-26 16:52:33,Credit,New York,D000066,60.89.202.192,M008,Branch,23,Student,93,1,929.6,2024-11-04 08:08:08,16,4,-45587735.0,0,0,1,2,1,High
TX001691,AC00442,12.18,2023-04-20 18:50:39,Debit,New York,D000326,190.152.148.249,M088,Branch,76,Retired,77,1,4909.24,2024-11-04 08:07:37,18,3,-48691018.0,0,0,0,3,0,Low
TX001757,AC00128,34.67,2023-04-25 16:34:55,Debit,Chicago,D000321,78.100.105.143,M077,Online,19,Student,71,1,888.6,2024-11-04 08:11:38,16,1,-48267403.0,0,0,0,1,1,High
TX001534,AC00294,344.27,2023-09-19 17:23:14,Debit,San Antonio,D000172,214.125.131.88,M031,Branch,22,Student,123,1,1918.36,2024-11-04 08:09:37,17,1,-35563583.0,0,0,0,1,1,High
TX001569,AC00203,56.31,2023-09-27 17:54:16,Credit,Houston,D000038,18.72.115.111,M042,Online,75,Retired,195,1,6396.08,2024-11-04 08:08:12,17,2,-34870436.0,0,0,1,2,0,Moderate
TX001310,AC00470,470.96,2023-03-10 16:22:05,Credit,Indianapolis,D000600,106.244.1.47,M036,Online,69,Doctor,124,2,12991.03,2024-11-04 08:11:10,16,4,-52242545.0,0,0,1,2,0,Moderate
TX001633,AC00118,287.05,2023-04-14 16:00:51,Debit,Milwaukee,D000356,141.169.67.34,M058,ATM,22,Student,212,1,1204.65,2024-11-04 08:10:59,16,4,-49219808.0,0,0,0,1,1,High
TX002423,AC00306,133.06,2023-02-03 17:00:39,Debit,Las Vegas,D000616,106.244.1.47,M072,Online,35,Engineer,143,1,8843.44,2024-11-04 08:09:53,17,4,-55264154.0,0,0,0,3,0,Low
TX000792,AC00339,64.5,2023-08-17 18:32:19,Debit,Denver,D000076,18.72.115.111,M062,ATM,74,Retired,230,1,1351.24,2024-11-04 08:08:31,18,3,-38410572.0,0,0,0,3,0,Low
TX000324,AC00248,138.12,2023-04-11 17:18:50,Credit,Los Angeles,D000182,45.182.28.148,M067,Branch,53,Doctor,281,1,1649.69,2024-11-04 08:11:23,17,1,-49474353.0,0,1,1,2,0,Moderate
TX001522,AC00139,263.92,2023-07-26 17:56:54,Credit,San Diego,D000568,32.240.176.64,M074,Branch,57,Retired,233,1,4161.71,2024-11-04 08:10:43,17,2,-40313629.0,0,0,1,2,0,Moderate
TX000250,AC00126,73.55,2023-01-09 16:09:48,Debit,Atlanta,D000210,196.121.240.10,M086,ATM,51,Engineer,158,1,2812.06,2024-11-04 08:11:21,16,0,-57427293.0,0,0,0,3,0,Low
TX001788,AC00319,253.46,2023-05-22 16:27:35,Debit,Memphis,D000057,8.243.4.138,M046,ATM,45,Engineer,60,1,1338.95,2024-11-04 08:07:11,16,0,-45934776.0,0,0,0,1,0,High
TX000678,AC00182,375.17,2023-06-08 17:20:53,Debit,Fort Worth,D000226,112.196.12.19,M053,ATM,51,Engineer,66,2,5495.3,2024-11-04 08:11:26,17,3,-44463033.0,0,0,0,3,0,Low
TX001389,AC00412,407.65,2023-08-07 17:17:34,Debit,Denver,D000013,8.136.178.116,M095,ATM,25,Student,263,1,273.78,2024-11-04 08:08:37,17,0,-39279063.0,0,0,0,1,1,High
TX000271,AC00023,196.08,2023-08-25 16:52:28,Debit,San Francisco,D000623,198.73.211.114,M088,Online,61,Retired,98,1,4233.82,2024-11-04 08:06:31,16,4,-37725243.0,0,0,0,3,0,Low
TX001533,AC00218,170.45,2023-01-05 16:56:49,Debit,San Francisco,D000560,50.202.8.53,M026,Branch,60,Engineer,199,1,2284.41,2024-11-04 08:09:17,16,3,-57769948.0,0,0,0,3,0,Low
TX001505,AC00301,23.23,2023-04-20 16:34:59,Credit,Miami,D000573,156.96.135.18,M064,Branch,21,Student,122,1,269.01,2024-11-04 08:09:54,16,3,-48699295.0,0,0,1,2,1,High
TX000382,AC00021,180.24,2023-07-03 17:03:48,Debit,Phoenix,D000106,169.67.220.37,M098,Branch,58,Engineer,144,1,8431.23,2024-11-04 08:09:17,17,0,-42303929.0,0,0,0,3,0,Low
TX001177,AC00363,436.8,2023-11-16 16:30:01,Debit,Houston,D000033,153.178.166.93,M098,Branch,36,Engineer,213,1,4515.43,2024-11-04 08:06:59,16,3,-30555418.0,0,0,0,1,0,High
TX001330,AC00110,224.28,2023-02-15 16:50:13,Debit,Chicago,D000316,189.20.224.220,M068,Online,64,Retired,68,1,5767.51,2024-11-04 08:10:52,16,2,-54228039.0,0,0,0,3,0,Low
TX000827,AC00131,524.6,2023-04-07 17:37:34,Debit,El Paso,D000593,44.73.3.217,M002,Branch,58,Doctor,76,1,13017.7,2024-11-04 08:09:46,17,4,-49818732.0,0,0,0,3,0,Low
TX000999,AC00339,17.95,2023-06-05 17:22:19,Credit,Sacramento,D000411,167.164.55.0,M027,Branch,64,Doctor,135,1,12344.9,2024-11-04 08:09:36,17,0,-44722037.0,0,0,1,2,0,Moderate
TX001322,AC00235,270.72,2023-03-27 17:25:32,Debit,Los Angeles,D000149,145.76.10.8,M027,Branch,38,Doctor,37,1,6522.47,2024-11-04 08:12:10,17,0,-50769998.0,0,0,0,3,0,Low
TX000655,AC00381,391.96,2023-06-19 16:21:58,Debit,Nashville,D000452,121.67.144.20,M032,ATM,64,Retired,79,1,2174.16,2024-11-04 08:06:47,16,0,-43515889.0,0,0,0,3,0,Low
TX002031,AC00186,199.23,2023-09-04 16:04:27,Debit,Tucson,D000183,24.148.92.177,M052,ATM,29,Engineer,54,1,9834.0,2024-11-04 08:07:46,16,0,-36864199.0,0,0,0,3,1,High
TX001317,AC00125,220.23,2023-09-18 18:35:23,Debit,Milwaukee,D000663,19.20.13.234,M059,ATM,41,Engineer,48,1,3438.02,2024-11-04 08:06:33,18,0,-35645470.0,0,0,0,1,0,High
TX001931,AC00239,302.63,2023-02-28 17:24:26,Credit,San Jose,D000444,182.225.2.156,M052,Branch,27,Engineer,10,1,2801.28,2024-11-04 08:07:17,17,1,-53102571.0,0,0,1,2,1,High
TX001060,AC00487,85.31,2023-12-11 16:06:04,Debit,Kansas City,D000332,45.64.74.86,M019,ATM,62,Retired,27,1,6095.65,2024-11-04 08:08:13,16,0,-28396929.0,0,0,0,3,0,Low
TX000281,AC00133,255.04,2023-11-23 16:15:59,Debit,Seattle,D000206,98.39.212.221,M084,ATM,45,Engineer,152,1,6217.86,2024-11-04 08:11:38,16,3,-29951739.0,0,0,0,3,0,Low
TX000406,AC00053,212.74,2023-12-14 18:53:34,Debit,Seattle,D000110,220.179.173.114,M050,Branch,27,Engineer,128,1,7645.47,2024-11-04 08:07:49,18,3,-28127655.0,0,0,0,1,1,High
TX000605,AC00398,175.07,2023-09-04 17:46:20,Debit,Colorado Springs,D000379,147.125.143.41,M091,Branch,26,Student,169,1,1040.25,2024-11-04 08:08:15,17,0,-36858115.0,0,0,0,1,1,High
TX000495,AC00498,659.95,2023-09-20 16:59:45,Debit,Detroit,D000665,94.227.164.192,M044,Online,60,Engineer,114,1,3927.69,2024-11-04 08:06:26,16,2,-35478401.0,0,0,0,4,0,High
TX001626,AC00220,1360.01,2023-09-25 16:51:23,Credit,Phoenix,D000582,5.252.94.135,M096,Branch,67,Retired,218,1,6601.5,2024-11-04 08:11:58,16,0,-35047235.0,0,0,1,4,1,High
TX000443,AC00070,293.97,2023-11-13 17:34:15,Debit,Phoenix,D000444,56.89.80.133,M047,Branch,68,Retired,153,1,7371.85,2024-11-04 08:08:57,17,0,-30810882.0,0,0,0,3,0,Low
TX001652,AC00279,18.25,2023-08-16 16:41:21,Debit,Kansas City,D000179,39.129.125.110,M076,ATM,53,Doctor,18,1,14328.29,2024-11-04 08:08:43,16,2,-38503642.0,0,0,0,3,0,Low
TX001140,AC00360,139.69,2023-06-15 17:22:42,Debit,Indianapolis,D000502,147.119.62.178,M025,Online,52,Engineer,180,1,9567.94,2024-11-04 08:07:56,17,3,-43857914.0,0,0,0,3,0,Low
TX002487,AC00202,377.04,2023-03-16 16:52:04,Debit,Chicago,D000587,203.170.198.177,M054,ATM,34,Engineer,64,1,3812.87,2024-11-04 08:09:54,16,3,-51722270.0,0,0,0,1,0,High
TX000840,AC00009,153.59,2023-05-04 17:43:59,Credit,Portland,D000270,204.120.80.105,M001,Branch,66,Retired,174,1,4813.12,2024-11-04 08:09:43,17,3,-47485544.0,0,0,1,2,0,Moderate
TX001667,AC00296,506.03,2023-07-12 16:14:08,Debit,Detroit,D000669,115.30.82.168,M100,Branch,21,Student,21,1,1123.89,2024-11-04 08:09:26,16,2,-41529318.0,0,0,0,1,1,High
TX001440,AC00090,81.51,2023-08-10 16:10:22,Debit,Washington,D000079,192.95.36.246,M059,Branch,25,Student,97,1,865.49,2024-11-04 08:07:15,16,3,-39023813.0,0,0,0,1,1,High
TX001052,AC00228,175.21,2023-12-21 18:44:40,Credit,Mesa,D000059,96.162.11.85,M049,ATM,69,Doctor,69,1,6039.04,2024-11-04 08:08:37,18,3,-27523437.0,0,0,1,2,0,Moderate
TX000571,AC00424,262.22,2023-07-13 17:48:24,Credit,Baltimore,D000006,177.116.108.246,M080,ATM,40,Engineer,136,1,5711.71,2024-11-04 08:12:12,17,3,-41437428.0,0,0,1,2,0,Moderate
TX001444,AC00072,645.04,2023-12-22 17:08:55,Debit,Memphis,D000515,10.191.172.154,M014,Branch,70,Retired,78,1,7361.47,2024-11-04 08:07:29,17,4,-27442714.0,0,0,0,3,0,Low
TX000512,AC00153,1116.48,2023-09-18 17:44:50,Debit,San Diego,D000633,164.75.163.220,M057,ATM,51,Engineer,55,1,447.53,2024-11-04 08:11:35,17,0,-35648805.0,0,0,0,4,1,High
TX000519,AC00067,167.2,2023-01-18 17:53:37,Debit,San Antonio,D000002,56.67.227.142,M036,Branch,30,Doctor,84,1,11320.83,2024-11-04 08:06:52,17,2,-56643195.0,0,0,0,3,0,Low
TX001976,AC00260,79.21,2023-11-24 17:52:34,Debit,Colorado Springs,D000014,165.143.173.165,M055,Branch,56,Retired,140,1,1615.04,2024-11-04 08:07:01,17,4,-29859267.0,0,0,0,3,0,Low
TX000555,AC00322,43.73,2023-04-03 16:43:29,Debit,Omaha,D000631,194.88.79.54,M011,ATM,34,Doctor,145,1,9929.43,2024-11-04 08:10:33,16,0,-50167624.0,0,0,0,3,0,Low
TX000267,AC00178,66.9,2023-04-17 16:50:45,Credit,Charlotte,D000221,138.210.196.19,M021,Online,79,Retired,129,4,5238.71,2024-11-04 08:10:39,16,0,-48957594.0,1,0,1,0,0,Moderate
TX002310,AC00331,146.67,2023-10-31 16:05:00,Debit,Albuquerque,D000534,184.185.209.72,M025,Online,20,Student,273,1,1569.75,2024-11-04 08:11:06,16,1,-31939566.0,0,1,0,1,1,High
TX000790,AC00342,92.36,2023-03-27 16:48:34,Debit,Dallas,D000598,3.200.166.167,M092,ATM,29,Engineer,144,1,6353.14,2024-11-04 08:07:55,16,0,-50771961.0,0,0,0,1,1,High
TX000364,AC00478,525.28,2023-04-03 16:37:24,Debit,Colorado Springs,D000564,70.130.169.235,M011,ATM,69,Retired,134,1,4693.6,2024-11-04 08:09:39,16,0,-50167935.0,0,0,0,3,0,Low
TX001244,AC00219,13.87,2023-12-11 18:32:40,Debit,Phoenix,D000670,37.227.215.145,M077,Branch,24,Student,20,1,954.83,2024-11-04 08:07:47,18,0,-28388107.0,0,0,0,1,1,High
TX001766,AC00486,282.26,2023-06-26 16:55:17,Debit,Memphis,D000048,210.136.14.108,M028,Online,37,Engineer,278,1,6857.2,2024-11-04 08:08:20,16,0,-42909183.0,0,1,0,1,0,High
TX001485,AC00060,440.94,2023-09-13 18:38:27,Debit,San Antonio,D000133,189.20.224.220,M008,Online,42,Doctor,148,1,7303.23,2024-11-04 08:11:22,18,2,-36077575.0,0,0,0,3,0,Low
TX001792,AC00005,680.76,2023-02-27 16:38:41,Debit,Kansas City,D000035,60.89.202.192,M011,Branch,21,Student,165,1,572.97,2024-11-04 08:09:04,16,0,-53191823.0,0,0,0,1,1,High
TX000889,AC00176,1.21,2023-08-21 17:19:06,Debit,Atlanta,D000369,96.115.67.230,M039,Branch,55,Retired,196,1,7542.74,2024-11-04 08:11:34,17,0,-38069548.0,0,0,0,3,0,Low
TX000172,AC00268,119.18,2023-08-25 18:01:38,Debit,Los Angeles,D000309,7.105.184.86,M093,Branch,56,Retired,96,1,5516.5,2024-11-04 08:07:34,18,4,-37721156.0,0,0,0,3,0,Low
TX001402,AC00092,66.01,2023-10-06 18:39:39,Debit,Milwaukee,D000317,49.172.82.247,M042,Online,49,Engineer,179,1,3475.99,2024-11-04 08:07:05,18,4,-34090046.0,0,0,0,1,0,High
TX000247,AC00415,34.07,2023-11-06 17:22:58,Debit,Philadelphia,D000158,29.168.185.63,M080,Branch,22,Student,81,1,8709.77,2024-11-04 08:07:21,17,0,-31416263.0,0,0,0,1,1,High
TX001511,AC00438,135.35,2023-07-28 18:42:51,Debit,Houston,D000219,218.54.207.160,M098,Branch,33,Engineer,82,1,9983.36,2024-11-04 08:07:24,18,4,-40137873.0,0,0,0,3,0,Low
TX001535,AC00407,872.72,2023-04-24 16:47:17,Debit,Washington,D000559,216.79.134.201,M033,Online,22,Student,288,1,503.01,2024-11-04 08:10:49,16,0,-48353012.0,0,1,0,4,1,High
TX001577,AC00059,65.11,2023-09-07 16:47:49,Debit,Nashville,D000204,223.32.70.156,M026,ATM,34,Engineer,150,1,8485.14,2024-11-04 08:08:55,16,3,-36602466.0,0,0,0,3,0,Low
TX000959,AC00282,280.61,2023-11-27 16:37:11,Debit,Mesa,D000485,186.135.2.148,M085,ATM,47,Engineer,129,3,7888.76,2024-11-04 08:10:47,16,0,-29604816.0,1,0,0,0,0,Moderate
TX000489,AC00463,308.68,2023-02-27 17:14:10,Debit,Milwaukee,D000391,86.220.59.252,M064,Online,53,Doctor,170,1,9992.36,2024-11-04 08:10:16,17,0,-53189766.0,0,0,0,3,0,Low
TX001308,AC00024,28.78,2023-08-07 16:08:04,Credit,Tucson,D000041,186.135.2.148,M096,Online,40,Doctor,51,1,680.55,2024-11-04 08:11:39,16,0,-39283415.0,0,0,1,2,1,High
TX001064,AC00025,65.26,2023-12-08 17:05:35,Debit,Sacramento,D000489,77.208.193.198,M026,Branch,26,Student,72,1,7380.63,2024-11-04 08:10:54,17,4,-28652719.0,0,0,0,1,1,High
TX002079,AC00256,506.83,2023-04-24 17:27:12,Debit,Indianapolis,D000410,116.43.88.219,M064,Branch,37,Engineer,45,1,9975.79,2024-11-04 08:07:31,17,0,-48350419.0,0,0,0,3,0,Low
TX000686,AC00071,119.3,2023-08-28 16:08:54,Debit,Mesa,D000597,90.111.245.138,M058,Branch,34,Engineer,22,5,319.04,2024-11-04 08:08:55,16,0,-37468801.0,1,0,0,0,1,High
TX000221,AC00391,131.56,2023-10-19 16:42:37,Debit,Charlotte,D000203,27.215.118.94,M014,Branch,44,Doctor,42,1,5873.54,2024-11-04 08:07:12,16,3,-32973875.0,0,0,0,3,0,Low
TX001864,AC00017,103.48,2023-01-30 16:04:17,Debit,Baltimore,D000640,1.98.25.114,M095,ATM,32,Engineer,33,1,6494.25,2024-11-04 08:09:34,16,0,-55613117.0,0,0,0,3,0,Low
